DOI,Name,Electrolyte,Material-1,Material-2,Material-3,Mass loading (mg/cm2),Geometric Pt loading (ug/cm2),Pt wt%,Pt type,Pt size (nm),Carbon type,Doped type,Doped wt%,ID/IG ratio,SSA for Sample (m2/g),Pore size (nm),Pore volume (cm3/g),SSA for Carbon (m2/g),Pore size for Carbon (nm),Pover volume for Carbon (cm3/g),Overpotential (mV)@10(mA/cm2),Tafel Plot,Rct,TOF (H2/s),Faradadic Efficiency,ECSA (m/g) ,Mass Activity (A/mg pt-1)
10.3389/fchem.2018.00523,Pt/CF100,1M H2SO4 ,Pt,C,,,32.5,,,45,,,,,,,,,,,58,118,,,,5.877,
10.3389/fchem.2018.00523,Pt/CF200,1M H2SO4 ,Pt,C,,,59,,,56,,,,,,,,,,,25,42,,,,6.322,
10.3389/fchem.2018.00523,Pt/CF300,1M H2SO4 ,Pt,C,,,101.5,,,70,,,,,,,,,,,38,126,,,,6.732,
10.1039/c9ta07469d,Pt/NMC-LT,0.5M H2SO4,Pt,C,,,10,1.58,atoms,single,NMC(XFNANO),N,18.8,1,,,,490.8,4.61,0.69,17,26.2,6,,,,
10.1039/c9ta07469d,Pt/NMC-RT,0.5M H2SO4,Pt,C,,0.265,10,1.7,cluster,1,NMC(XFNANO),N,18.8,1,,,,490.8,4.61,0.69,49.1,30.3,8.3,,,,
10.1021/acs.jpcc.7b01447,A-CN(PDAP)NH3,0.5M H2SO4,Pt,C,,0.265,,1.5,nanoparticles,3,,N,12.4,0.96,,,,1129.26,,0.733,33.9,,,,,,
10.1021/acs.jpcc.7b01447,A-CN(PDAP)Ar,0.5M H2SO4,Pt,C,,0.265,,0.8,nanoparticles,3,,N,9,0.91,,,,587.3,,0.341,16,,,,,,
10.1021/acs.jpcc.7b01447,A-CN(PANI)NH3,0.5M H2SO4,Pt,C,,0.265,,0.95,nanoparticles,3,,N,11.2,0.92,,,,1020.36,,0.547,15.9,,,,,,
10.1021/acs.jpcc.7b01447,A-CN(PANI)Ar,0.5M H2SO4,Pt,C,,0.265,,0.6,nanoparticles,3,,N,8.5,0.89,,,,248.52,,0.201,26.4,,,,,,
10.1016/j.ijhydene.2019.10.036,Pt-NCS,0.5M H2SO4,Pt,C,,,6.4,5.7,nanoparticles,4.3,N-doped carbon,N,6,,,,,,,,22,30,6.2,0.56,,57.8,5.08
10.1016/j.ijhydene.2019.10.036,Pt-CS,0.5M H2SO4,Pt,C,,,6.4,,,,,0,0,,,,,,,,27,,25.6,0.069,,27.2,2.42
10.1016/j.ijhydene.2019.10.036,20 Pt/C,0.5M H2SO4,Pt,C,,,6.4,,,,,0,0,,,,,,,,41,,17.4,0.084,,44,0.57
10.1002/chem.201900320,Pt@CNS,0.5M H2SO4,Pt,C,,,,0.07,nanosheets ,3,,,,0.8577,,,,118.14,,,400,72.25,23,,,,
10.1002/chem.201900320,20 Pt/C,0.5M H2SO4,Pt,C,,,,,,,,,,,,,,,,,40,,,,,,
10.1039/c9nj03675j,NCN-Pt-800,0.5M H2SO4,Pt,C,,,8.3,4.8,nanoparticles,2.85,Nitrogen-doped carbon nanofibers,N,4.3,0.96,401,55,,426,,,35,45,9.6,,,,
10.1039/c9nj03675j,NCN-Pt-900,0.5M H2SO4,Pt,C,,,8.3,4.8,nanoparticles,3.05,Nitrogen-doped carbon nanofibers,N,4.3,0.94,426,62,,426,,,34,39,0.9,,,,3.33
10.1039/c9nj03675j,NCN-Pt-1000,0.5M H2SO4,Pt,C,,,8.3,4.8,nanoparticles,4.75,Nitrogen-doped carbon nanofibers,N,4.3,0.97,420,63,,426,,,38,44,53.6,,,,
10.1039/c9nj03675j,20 Pt/C,0.5M H2SO4,Pt,C,,,,,,,,,,,,,,,,,36,35,,,,,0.635
10.3389/fmats.2019.00251,Pt/VC,0.5M H2SO4,Pt,C,,,,3.2,,1.6,Vulcan Carbon,,,2.1,,,,,,,38,132.8,,,,,1
10.3389/fmats.2019.00251,20 Pt/C,0.5M H2SO4,Pt,C,,,,,,3.3,,,,2.92,,,,,,,31,30.6,,,,,0.7
10.1039/d0se00136h,Pt/ACNF-0,0.5M H2SO4,Pt,C,,,,4.41,nanoparticles,2.3,Nitrogen-doped carbon nanofibers,N,9.1,0.9,,,,,,,142,62,2.01,,,16.3,
